word,file,sentence,decision,fix_to
"אובדן","event-waiver.html","אני מסכים/ה כי כל נזק, פגיעה, חבלה, אובדן או הפסד שייגרמו לי - בין אם לגוף, לנפש, לרכוש או לכל דבר אחר - לפני הפעילות, במהלכה, מיד לאחריה או בעקיפין כתוצאה ממנה - יהיו באחריותי המלאה והבלעדית, ועל חשבוני בלבד.","",""
"אומנותית","graffiti-center.html","עולם הגרפיטי מספק מקום לביטוי אישי ותעוזה אומנותית.","",""
"אינסטגרם","about.html","[snippet] 12 23.027 24 18.062 24 12.073z""/> </svg> </a> <a href=""#"" title=""אינסטגרם"" aria-label=""אינסטגרם"" role=""link""> <svg xmlns=""http://www.w3.org/2000/svg"" width=""24"" height=""24""","",""
"אמיתיים","throwing-axes.html","[snippet]  משחק מדויק ומאתגר | חדר זעם</title> <meta name=""description"" content=""הטלת גרזנים מקצועית - למדו לזרוק גרזנים כמו אמיתיים! משחק מאתגר עם הדרכה מקצועית וציוד איכותי""> <!-- Open Graph Meta Tags --> <meta property=""og:title"" content","",""
"אמיתית","graffiti-center.html","אצלנו תוכלו להתבטא באמנות רחוב אמיתית באופן חוקי ובטוח, עם האמנים הטובים ביותר בישראל!","",""
"אנג","booking.html","הזמן זמן - SmashLabs 💥 ""> דלג לתוכן הראשי הזמן זמן שם מלא * אימייל * תאריך * שעת התחלה * משך הזמן (שעות) * בחר משך זמן שעה אחת שעה וחצי שעתיים 3 שעות 4 שעות אזור זמן * ישראל (Asia/Jerusalem) לונדון (Europe/London) ניו יורק (America/New_York) לוס אנג'לס (America/Los_Angeles) הערות נוספות הזמן זמן SmashLabs - המקום לשחרר לחצים!","",""
"אנליטיקה","cookie-settings.html","עוגיות חיוניות: נדרשות לתפקוד תקין של האתר עוגיות אנליטיקה: מסייעות לנו להבין כיצד משתמשים באתר עוגיות שיווקיות: מאפשרות פרסום ושיווק ממוקד עוגיות פונקציונליות: משפרות את חוויית המשתמש הגדרות נוכחיות טוען הגדרות...","",""
"אקסטרה","rage-room.html","ממחבטי בייסבול מעץ ומברזל ללום ופטיש 5 קילו ואפילו מפתח צינורות אקסטרה לארג במיוחד לאמיצים ציוד של איך מתמגנים אצלנו ??","",""
"בוואטסאפ","index.html","ניתן ליצור איתנו קשר בוואטסאפ לתיאום הזמנות פתח וואטסאפ 📱 050-442-9195 למילוי הסכם ויתור על מנת לשחק: לחץ כאן האתר נמצא בפיתוח על ידי Sand כל הזכויות שמורות © 2025 SmashLabs","",""
"בע","disclaimer.html","הגדרות ""החברה"" - SmashLabs בע""מ, ח.פ.","",""
"דוא","event-waiver.html","+ הוסף ילד/ה נוסף/ת עיר * רחוב * טלפון נייד * דוא""ל * איש קשר לחירום * פרטי איש קשר שניתן ליצור עמו קשר במקרה חירום שם מלא של איש קשר * טלפון איש קשר * קרבה משפחתית / יחס * בחר קרבה משפחתית...","",""
"הגזרנים","throwing-axes.html","חדר הטלת הגזרנים שלנו הוא המקום המושלם לפתח את כישורי הדיוק שלכם.","",""
"הגירסה","nagishli/docs/hebrew/äüùéä/ëûëÿü ùàâ äüùéä.html","&#x2753; מיקום הקובץ של נגיש לי בתוך האתר שלכם: /nagishli.js &#x2753; הגירסה של נגיש לי שאותה אתם מתקינים (לדוגמה, 2.2.2): שפה: עברית אנגלית מיקום במסך: פינה שמאלית עליונה פינה שמאלית תחתונה פינה ימנית עליונה פינה ימנית תחתונה &#x2753; הצהרת נגישות (אם יש, הזינו קישור ישיר אליה): צבע: כחול אדום ירוק סגול צהוב ורוד אפור חום כתום טורקיז שחור &#x2753; מצב קומפקטי: לא כן &#x2753; מצב אקורדיון: לא כן רישיון (אם יש, הזינו את הקוד): &#x2753; מיקום תיקיית קובצי התוסף: &#x2753; פרטים עבור הצהרת הנגישות המובנית: שם: טלפון: דואר אלקטרוני: פקס: יצירת קוד &copy; 2016- נגיש לי - תוסף נגישות בחינם לבעלי אתרים מבית לוקלייז*","",""
"ההיגיע","rage-room.html","חדר הזעם מצויד בכלים וכיסופו שפורגבה לחסוסו לקפוצכבסופו של נדבו כגי ההיגיע.","",""
"ההיפ","graffiti-center.html","שורשי הגרפיטי גרפיטי היא אומנות רחוב שמתמקדת בציור או כתיבה על קירות או משטחים ציבוריים מעט היסטוריה גרפיטי קיים כבר אלפי שנים ת עם דוגמאות מהעת העתיקה כגון ממצרים ויוון עם זאת התופעה המודרנית של גרפיטי החלה בשנות ה-60 וה-70 בעיר ניו יורק כחלק מתופעת הסאב- תרבות של ההיפ הופ מה תלמדו אצלנו: ישנן מספר טכניקות שגריפיטאים משתמשים בהן, כולל 1 ספריי צבע - השיטה הנפוצה ביותר שבה משתמשים בקופסאות ספריי לציור והשגת צבעים עזים 2 פנדה או טוש - כלי פשוט לפיתוח קווים דקים ולעיתים גם כתיבה של טקסטים 3 שבלונות - טכניקת ציור שבה משתמשים בשבלונות מוכנות להשגת דוגמאות מדויקות ומהירות 4 ציור ביד חופשית - ציור ישיר על הקיר בעזרת צבעים ומברשת גרפיטי עדיין מעורר דיונים רבים לגבי החוקיות ומעמדו כאומנות האקדמיה: התנסו שפורצת את הגבולות!","",""
"הוויקינגים","throwing-axes.html","הטלת גרזנים - משחק מדויק ומאתגר | חדר זעם 🪓 ""> דלג לתוכן הראשי הטלת גרזנים מטרה, ריכוז ודיוק - כמו לוחמי הוויקינגים!","",""
